ComentarioCrudo,ComentarioLimpio
"Lamentable su pérdida de un extraordinario futbolista junto a su hermano, Dios los tenga en su Gloria y Eterno Descanso","Lamentable su pérdida de un extraordinario futbolista junto a su hermano, Dios los tenga en su Gloria y Eterno Descanso"
EPD Que triste Noticia,EPD Que triste Noticia
Que Dios te cuide en el cielo,Que Dios te cuide en el cielo
que dolor tan grande les dejás A toda tú familia paz en su tumba,que dolor tan grande les dejás A toda tú familia paz en su tumba
Gran pena!!!!!!,Gran pena!!!!!!
Descanse en paz,Descanse en paz
Que tristesa asi es la vida corta y von muchos recurso fuersa familia Dios esta com ustedes no los va a dejar solo de honduramuchos saludos,Que tristesa asi es la vida corta y von muchos recurso fuersa familia Dios esta com ustedes no los va a dejar solo de honduramuchos saludos
Dios les de fortaleza a toda la familia,Dios les de fortaleza a toda la familia
"Es una pena muy grande bendiciones
para ellos","Es una pena muy grande bendiciones
para ellos"
"Que lastima
me da mucha pena","Que lastima
me da mucha pena"
D.E.P.,D.E.P.
Q.E.P.D.,Q.E.P.D.
DIOS DE DE FORTALEZA A SU FAMILIA,DIOS DE DE FORTALEZA A SU FAMILIA
"Vuela alto campeón, desde el cielo ora y cuida a tu linda familia, que el Señor te acoja en su gloria DEP","Vuela alto campeón, desde el cielo ora y cuida a tu linda familia, que el Señor te acoja en su gloria DEP"
A veces la vida es tan injusta Q.D.L.T.E.S.R,A veces la vida es tan injusta Q.D.L.T.E.S.R
RIP,RIP
"D.E.P
lo siento mucho. Mi pésame a su familia.","D.E.P
lo siento mucho. Mi pésame a su familia."
Muy triste y lamentable noticia descanso eterno vuela alto Jota,Muy triste y lamentable noticia descanso eterno vuela alto Jota
Es una pena enorme.,Es una pena enorme.
Qeop mis condolencias a su familia,Qeop mis condolencias a su familia
Lo lindo de esto que se puso a cuentas con Dios y su corazón en paz con el,Lo lindo de esto que se puso a cuentas con Dios y su corazón en paz con el
Descanse en paz,Descanse en paz
Descansa en Paz,Descansa en Paz
"Rip
muchas gracias por alegrarnos la vida mirándote jugando fútbol","Rip
muchas gracias por alegrarnos la vida mirándote jugando fútbol"
Descanse en paz Diego y que brille para el la luz perpetua,Descanse en paz Diego y que brille para el la luz perpetua
Que el Todopoderoso les de mucha fortaleza y sabiduría.,Que el Todopoderoso les de mucha fortaleza y sabiduría.
La vida es dp,La vida es dp
"Se fue con el corazón lleno de amor , QDEP,valor y fortaleza a sus familias ,Dios los reconforte.","Se fue con el corazón lleno de amor , QDEP,valor y fortaleza a sus familias ,Dios los reconforte."
QEPD ambos hermanos. Que dolor más grande para sus padres y para la familia de los muchachos.,QEPD ambos hermanos. Que dolor más grande para sus padres y para la familia de los muchachos.
Que triste noticia. Paz en su tumba.,Que triste noticia. Paz en su tumba.
Dios les de mucha fortaleza,Dios les de mucha fortaleza
Solo papá Dios sabe cuando nos toca partir..,Solo papá Dios sabe cuando nos toca partir..
Dios mio que tristeza.Reciban un fuerte abrazo cargado de fortaleza .Dios los tenga en su santa gloria. Descancen en paz.,Dios mio que tristeza.Reciban un fuerte abrazo cargado de fortaleza .Dios los tenga en su santa gloria. Descancen en paz.
"Triste noticia EPD.Mis condolencias para familiares,amigos y amantes del Futbol","Triste noticia EPD.Mis condolencias para familiares,amigos y amantes del Futbol"
Como ase las cosa diosito fue casandose con su esposa que tiene sus niños y pasa el fatal accidente es la mentable si yata descansando paso a otra vida mucho mejor si,Como ase las cosa diosito fue casandose con su esposa que tiene sus niños y pasa el fatal accidente es la mentable si yata descansando paso a otra vida mucho mejor si
Descansa en paz,Descansa en paz
"Dios mío,te deja el alma rota estás cosas,pobre familia ,que descansen en paz los dos hermanos","Dios mío,te deja el alma rota estás cosas,pobre familia ,que descansen en paz los dos hermanos"
Que tristeza,Que tristeza
Muy triste,Muy triste
No sólo en los famosos sucede eso tristemente pasan cosas que no comprendes la vida es injusta,No sólo en los famosos sucede eso tristemente pasan cosas que no comprendes la vida es injusta
QEPD,QEPD
"Que gran tragedia,por ellos y x los familiares y allegados!!!QEPD","Que gran tragedia,por ellos y x los familiares y allegados!!!QEPD"
QDEP Dios le tenga en santísimo reino Buela alto Diogo,QDEP Dios le tenga en santísimo reino Buela alto Diogo
"que mal
fortaleza para su familia","que mal
fortaleza para su familia"
"Que penoso, Mis condolencias a su familia QEPD,","Que penoso, Mis condolencias a su familia QEPD,"
QEPD...amen una lastima profunda gran futbolista mis condolencias a la familia...,QEPD...amen una lastima profunda gran futbolista mis condolencias a la familia...
Que lamentable.Dios lo tenga en su Gloria.,Que lamentable.Dios lo tenga en su Gloria.
Que pena,Que pena
"Descansen en paz, falleció su hermano con el . Desvastadora noticia
muchas fortalezas a la familia","Descansen en paz, falleció su hermano con el . Desvastadora noticia
muchas fortalezas a la familia"
Que triste ....y fuerza y Resignación...para su flia...D.E.P.,Que triste ....y fuerza y Resignación...para su flia...D.E.P.
..,..
QEPD! AMÉN,QEPD! AMÉN
Ya su destino estaba escrito en el libro de la vida así como tenemos un angel de la guarda también tenemos el de la muerte y es la única que tenemos asegurada en esta vida,Ya su destino estaba escrito en el libro de la vida así como tenemos un angel de la guarda también tenemos el de la muerte y es la única que tenemos asegurada en esta vida
Mis consuelo para la familia..vuela alto DIOGO...ESTA EN EL PARAISO..,Mis consuelo para la familia..vuela alto DIOGO...ESTA EN EL PARAISO..
Que pena!.,Que pena!.
Una trágica muerte de jóvenes con un futuro promisorio.,Una trágica muerte de jóvenes con un futuro promisorio.
Que Dios les de fortaleza a sus familiares y que brille para los jóvenes víctimas la luz que no tiene fin.,Que Dios les de fortaleza a sus familiares y que brille para los jóvenes víctimas la luz que no tiene fin.
Descanse em paz Diogo Jota,Descanse em paz Diogo Jota
Que tristeza,Que tristeza
Paz en su tumba,Paz en su tumba
Fortaleza para la familia,Fortaleza para la familia
"Que Dios llene sus corazones de mucha fortaleza y a sus hijos, esposa y padres mucha resignación, descanse en paz, Dios lo tenga en su santa gloria","Que Dios llene sus corazones de mucha fortaleza y a sus hijos, esposa y padres mucha resignación, descanse en paz, Dios lo tenga en su santa gloria"
Que triste,Que triste
"Q triste, Dios llene d fortaleza y consuelo a toda esta familia ya q es doble perdida","Q triste, Dios llene d fortaleza y consuelo a toda esta familia ya q es doble perdida"
Descancen en paz los hermanos,Descancen en paz los hermanos
Qué pena nos hemos quedado conmocionados pensando en esa madre y su esposa ha sido horrible lo siento de verdad,Qué pena nos hemos quedado conmocionados pensando en esa madre y su esposa ha sido horrible lo siento de verdad
Que el señor les de mucha fortaleza,Que el señor les de mucha fortaleza
Descansa en paz,Descansa en paz
De que murió ? Que tristeza,De que murió ? Que tristeza
"Muy triste
q Dios los tenga en su santa gloria","Muy triste
q Dios los tenga en su santa gloria"
"QEPD
Diogo Jota
paz y consuelo a tu familia, incluída tu madre","QEPD
Diogo Jota
paz y consuelo a tu familia, incluída tu madre"
Mucha fuerza a su familia a su esposa sus hijos q mi DIOS lo tenga en su santa gloria,Mucha fuerza a su familia a su esposa sus hijos q mi DIOS lo tenga en su santa gloria
Que mala noticia ! Abrazo a su flia,Que mala noticia ! Abrazo a su flia
Que en paz descanse.,Que en paz descanse.
Que pena dios mio fuerza para toda la familia,Que pena dios mio fuerza para toda la familia
Fortaleza para su familia,Fortaleza para su familia
Pobrecitos... no hay palabras para esta tragedia que se lleva a dos hermanos.,Pobrecitos... no hay palabras para esta tragedia que se lleva a dos hermanos.
Toda una familia destruida.,Toda una familia destruida.
Que descansen en paz.,Que descansen en paz.
"Que perdida más grande y dolorosa que dios te bendiga y te tenga en su Santo reino, te lo mereces.","Que perdida más grande y dolorosa que dios te bendiga y te tenga en su Santo reino, te lo mereces."
Descansa en paz,Descansa en paz
D.E.P. yo digo y no sería un coche eléctrico que para apagarlo se tarda un montón. El pésame a la familia.,D.E.P. yo digo y no sería un coche eléctrico que para apagarlo se tarda un montón. El pésame a la familia.
Tenía su día de partir ...No sé pudo montar en el avión por algún problema en pulmón leve ..y ahora va y se muere en coche ..a una velocidad de rayo ...Así es la vida de caprichosa ..Dios se lo llevó .Descanse en paz. Los dos hermanos,Tenía su día de partir ...No sé pudo montar en el avión por algún problema en pulmón leve ..y ahora va y se muere en coche ..a una velocidad de rayo ...Así es la vida de caprichosa ..Dios se lo llevó .Descanse en paz. Los dos hermanos
Que triste,Que triste
"Los hijos son apenas unos bebés Dios mío...
Que triste es todo esto...
Vuela alto Diogo, y convertido en ángel cuida de tus hijos y tu mujer...","Los hijos son apenas unos bebés Dios mío...
Que triste es todo esto...
Vuela alto Diogo, y convertido en ángel cuida de tus hijos y tu mujer..."
"No lo conocía pero al ver la noticia,me dio mucha pena. Empezando por la familia éste joven tenía todo.","No lo conocía pero al ver la noticia,me dio mucha pena. Empezando por la familia éste joven tenía todo."
"Que injusta es la vida,se veían tan felices. Descansa en paz.","Que injusta es la vida,se veían tan felices. Descansa en paz."
D.E.P los,D.E.P los
dos hermanos.. No hay consuelo para los que se quedan ante una tragedia tan grande!,dos hermanos.. No hay consuelo para los que se quedan ante una tragedia tan grande!
Meus sentimentos a todos familiares e amigos,Meus sentimentos a todos familiares e amigos
"Q hermoso momento!!! Y bueno seguramente Dios quiso así!
O la neclijencia! . Hayq tener cuidado en el volante!!","Q hermoso momento!!! Y bueno seguramente Dios quiso así!
O la neclijencia! . Hayq tener cuidado en el volante!!"
"Que tragedia,","Que tragedia,"
"DEP, mí más sentido pésame a la familia","DEP, mí más sentido pésame a la familia"
Que en paz descanse crack y que mi Dios ayude a tu familia a recuperarse de tu partida bendiciones,Que en paz descanse crack y que mi Dios ayude a tu familia a recuperarse de tu partida bendiciones
Duro para su mamá perder sus dos hijos al igual q la esposa Dios los tenga en su santa gloria,Duro para su mamá perder sus dos hijos al igual q la esposa Dios los tenga en su santa gloria
Que impactada quede Dios lo tenga en su santa gloria fuerzas para toda tu familia de Diogo QEPD tu hermano también amén,Que impactada quede Dios lo tenga en su santa gloria fuerzas para toda tu familia de Diogo QEPD tu hermano también amén
"Nooo vale pq, no es justa la verdad fue un maravilloso jugador mucha fortaleza para su familia y que dios lo reciba en su santa gloria","Nooo vale pq, no es justa la verdad fue un maravilloso jugador mucha fortaleza para su familia y que dios lo reciba en su santa gloria"
Una noticia demasiado triste.Que con la ayuda de Dios pueda toda la familia mitigar el dolor.,Una noticia demasiado triste.Que con la ayuda de Dios pueda toda la familia mitigar el dolor.
Que triste y saber que hay personas sin humildad que quieren poder y dinero .y lo bello es tener vida .como lo que están haciendo los presidentes de otros paiises,Que triste y saber que hay personas sin humildad que quieren poder y dinero .y lo bello es tener vida .como lo que están haciendo los presidentes de otros paiises
Que pena,Que pena
Que descanse en paz,Que descanse en paz
Ganó la Premier League,Ganó la Premier League
Ganó la Nations League,Ganó la Nations League
Recién Casado,Recién Casado
"Vuela tan alto como todo campeón mi Diogo junto a tu hernano, QEPD","Vuela tan alto como todo campeón mi Diogo junto a tu hernano, QEPD"
Q Dios le de consuelo a su familia y descanse en paz,Q Dios le de consuelo a su familia y descanse en paz
Que pena madre mia,Que pena madre mia
QEPD,QEPD
Que dios les bendiga,Que dios les bendiga
"Pues si la vida se le has dado la vuelta desgraciadamente!
fuerza para los suyos","Pues si la vida se le has dado la vuelta desgraciadamente!
fuerza para los suyos"
QEPD,QEPD
A veces es un mal toque del emogi..no es maldad,A veces es un mal toque del emogi..no es maldad
Que horror!!,Que horror!!
"Que triste noticia , muchas fortaleza para sus familias. Descanse en Paz , Dios los tenga en su Santo Reino .
Desde Colombia .","Que triste noticia , muchas fortaleza para sus familias. Descanse en Paz , Dios los tenga en su Santo Reino .
Desde Colombia ."
"Que duro y difícil es la vida, no lo ves ni venir, así que el mañana no existe disfruta el día a día, ama, abraza, cuida y goza de tu familia y amistades responsablemente","Que duro y difícil es la vida, no lo ves ni venir, así que el mañana no existe disfruta el día a día, ama, abraza, cuida y goza de tu familia y amistades responsablemente"
Que pena,Que pena
D.E.P.,D.E.P.
Que. Triste. Y. Lamentable. Pero. Asi. Hoi. Somos. Man̈ana. Nosesabe. Que. Descanse. Em. Paz. Y. Con. Suelo. Y. Resignation. Asus. Seres. Amados.,Que. Triste. Y. Lamentable. Pero. Asi. Hoi. Somos. Manana. Nosesabe. Que. Descanse. Em. Paz. Y. Con. Suelo. Y. Resignation. Asus. Seres. Amados.
